sim_time,vid,latency_s,task_id,action_idx,action_name
1.0,init_26,1.0550321972830978,2,15,15
1.0,init_3,1.3472728641866418,1,6,6
1.0,init_36,3.856137364216037,3,13,13
1.0,init_23,7.037966423631864,4,13,13
1.0,init_46,1.8741176313878343,5,1,1
1.5,init_39,7.227148416676503,6,2,2
1.5,init_21,4.17271904290011,7,1,1
1.5,init_1,9.224556933354872,8,15,15
1.5,init_17,2.8445465984142073,9,12,12
2.0,init_15,22.43811983502396,14,4,4
1.5,init_28,14.051846212210805,11,0,0
1.5,init_13,8.963819357965841,13,13,13
1.5,init_31,5.809259845747416,12,15,15
1.5,init_34,3.129274608127835,10,14,14
2.0,init_5,3.2875234264885287,15,3,3
2.5,init_48,5.181017589877645,16,4,4
2.5,init_4,6.101486193082937,17,1,1
2.5,init_16,2.5361937077331365,18,8,8
2.5,init_25,1.8191108338793651,19,5,5
2.5,init_43,3.1477133916941993,21,10,10
2.5,init_6,5.69597028376356,20,8,8
3.0,init_28,3.550515170404647,25,5,5
3.0,init_0,4.3194932880204995,24,6,6
3.0,init_45,14.668518429136048,23,9,9
2.5,init_46,4.4061136115060595,22,2,2
3.0,init_22,3.2451882096079365,26,11,11
3.0,init_40,10.273363980956805,27,1,1
3.5,init_10,3.97400711040531,28,7,7
3.5,init_27,6.725177476646962,29,8,8
4.0,init_9,12.002508942380809,32,1,1
4.0,init_14,4.7939797328970215,31,11,11
4.0,init_45,23.1124271543407,30,1,1
4.5,init_18,18.556906530906232,33,1,1
5.0,init_14,4.667992400486757,34,16,16
5.0,init_0,9.18933361498,35,15,15
5.0,init_23,13.737689068266125,36,16,16
5.0,init_5,3.1637116147705875,37,10,10
5.0,init_2,6.479455423349135,38,2,2
5.5,init_23,6.792241463393617,39,15,15
5.5,init_11,5.99918698705595,40,5,5
6.0,init_24,7.64160602483676,44,16,16
6.0,init_25,3.989035709762312,42,6,6
6.0,init_45,5.894589706056899,41,5,5
6.0,init_7,7.3520310645236355,43,0,0
7.0,init_19,2.341572129914098,45,7,7
7.0,init_27,2.679680636335793,46,9,9
7.5,init_28,5.51681136408934,47,4,4
7.5,init_22,4.749510354880182,48,7,7
7.5,init_2,7.141973895732287,49,9,9
7.5,init_46,9.915616347467576,50,2,2
7.5,init_37,8.139291620265956,51,15,15
8.0,init_16,5.316801975697148,53,16,16
8.0,init_13,5.363232936049606,56,14,14
8.0,init_29,9.274015982182492,52,8,8
8.0,init_23,12.925079020732479,54,16,16
8.0,init_20,6.053893585772398,55,9,9
8.5,init_0,12.888850879927721,57,2,2
9.0,init_22,18.90938490817419,58,1,1
9.0,init_13,13.391892706623088,59,2,2
9.5,init_44,4.422813902274309,60,4,4
10.0,init_4,4.270536871910311,61,11,11
10.0,init_35,5.000830567926578,62,5,5
10.5,init_47,8.831395968885666,64,5,5
10.5,init_45,3.5330865259847952,63,11,11
12.0,init_34,10.235494297915357,65,5,5
12.0,init_7,3.5999536712324787,66,9,9
13.5,init_3,12.540368684954904,67,1,1
13.5,init_34,4.538969038982447,68,14,14
13.5,init_35,16.834445630299157,69,1,1
13.5,init_36,3.988642309325476,70,16,16
13.5,init_13,18.85801375210568,73,1,1
13.5,init_38,13.911123949562725,72,2,2
14.0,init_19,7.844748095604844,75,13,13
13.5,init_23,7.518248531605506,71,15,15
14.0,init_42,1.4947148432254562,77,8,8
14.0,init_7,6.296568641491155,76,11,11
14.0,init_29,3.586113871108398,74,11,11
14.0,init_27,10.644140082984189,78,0,0
15.0,init_18,5.142254193910496,79,9,9
15.5,init_45,17.474984961114618,80,1,1
16.0,init_34,6.279212045959916,83,5,5
16.5,init_25,8.292548229356631,87,12,12
15.5,init_19,2.6436716233755764,82,11,11
16.0,init_23,19.720343583401476,84,1,1
