========== Scenario_1_(0-500s) ==========
实验名称(File),全局均值(Mean_s),P50(中位数),P90(尾部),P99(长尾),标准差(StdDev)
1_500,6.689,5.072,13.075,27.602,5.225
2_500,6.338,4.865,12.645,23.575,4.751
4_500,6.699,4.919,13.848,24.999,5.219
exploit250,6.342,4.857,12.896,24.27,4.719
exploit500,6.944,4.879,13.335,36.308,6.623
multi_1_500,7.067,5.047,14.326,30.676,6.059
multi_2_500,6.508,4.86,12.98,24.445,4.923
offline,4.282,3.751,7.045,13.793,2.5
online,6.731,4.902,13.065,30.003,5.736
random,7.404,5.016,15.18,37.575,7.04


========== Scenario_2_(500-1500s) ==========
实验名称(File),全局均值(Mean_s),P50(中位数),P90(尾部),P99(长尾),标准差(StdDev)
1_500,10.187,8.322,19.396,39.223,7.552
2_500,8.32,6.956,15.071,30.482,5.786
4_500,9.676,8.436,16.705,34.632,6.489
exploit250,11.626,9.155,22.922,44.726,8.879
exploit500,9.678,8.126,17.431,36.053,6.737
multi_1_500,9.828,8.316,17.541,36.99,6.788
multi_2_500,8.448,7.543,14.238,27.291,4.936
offline,27.031,21.867,55.224,95.262,21.226
online,18.293,11.979,43.06,82.834,17.557
random,113.712,22.618,349.58,606.062,155.019


========== Scenario_3_(1500-2500s) ==========
实验名称(File),全局均值(Mean_s),P50(中位数),P90(尾部),P99(长尾),标准差(StdDev)
1_500,10.529,9.909,16.761,29.889,5.851
2_500,10.698,9.818,17.372,34.961,6.249
4_500,12.151,10.639,20.517,45.506,8.448
exploit250,14.02,12.161,22.594,66.986,11.033
exploit500,10.979,9.86,18.629,35.848,6.651
multi_1_500,11.386,10.368,18.795,38.182,7.336
multi_2_500,12.986,12.119,21.114,44.444,8.25
offline,36.974,30.125,74.408,133.062,30.2
online,11.856,9.449,19.785,66.93,11.077
random,1141.27,24.976,3324.453,4571.616,1385.212


========== Scenario_4_(2500-3500s) ==========
实验名称(File),全局均值(Mean_s),P50(中位数),P90(尾部),P99(长尾),标准差(StdDev)
1_500,4.532,3.558,8.57,18.134,3.396
2_500,4.38,3.441,7.905,18.619,3.503
4_500,4.683,3.694,8.6,18.753,3.628
exploit250,4.395,3.556,7.77,17.228,3.179
exploit500,4.567,3.601,8.496,18.34,3.46
multi_1_500,4.859,3.794,8.808,21.141,3.848
multi_2_500,4.523,3.579,8.433,18.401,3.559
offline,5.741,3.547,10.168,49.572,8.007
online,4.24,3.352,7.708,18.031,3.28
random,558.378,11.243,1576.397,1793.818,647.214


