sim_time,vid,latency_s,task_id,action_idx,action_name
1.0,init_45,1.651958469801481,1,4,4
1.0,init_1,2.653136245742214,3,13,13
2.0,init_10,3.249770749121603,7,2,2
2.0,init_9,8.116512459766152,8,13,13
2.0,init_39,2.668294888935417,9,8,8
2.5,init_29,2.867670230812587,12,16,16
2.5,init_34,8.167707258304977,10,13,13
3.0,init_45,3.5817311913326564,14,4,4
2.5,init_19,9.569504216616531,13,13,13
2.5,init_7,2.7434684610347535,11,0,0
3.0,init_16,2.2894380549324187,15,5,5
3.5,init_35,7.292639305069661,16,12,12
3.5,init_7,5.96817911570315,17,3,3
3.5,init_16,2.19995004104591,18,10,10
4.0,init_15,3.659058843958684,19,7,7
5.0,init_23,6.921976380040416,22,4,4
5.0,init_27,4.015347450515019,21,8,8
4.5,init_31,8.454597369687763,20,1,1
5.0,init_10,3.499495435005417,24,9,9
5.0,init_8,4.325102653236283,23,10,10
5.0,init_3,1.7807642208219567,25,6,6
5.5,init_17,3.3753972180542178,26,11,11
6.0,init_48,4.572109718218985,27,2,2
6.0,init_42,5.496353664536829,28,9,9
6.0,init_40,3.938368941918237,29,8,8
6.0,init_3,9.736585680315578,31,13,13
6.5,init_28,10.382497530617202,33,2,2
6.0,init_28,11.137035409848083,30,2,2
6.5,init_5,8.727323808779765,32,3,3
7.5,init_48,14.573146519233298,36,13,13
7.5,init_8,5.104354915867195,37,8,8
7.0,init_19,3.537562706242168,35,16,16
7.0,init_46,4.55990677490065,34,14,14
7.5,init_40,9.663391745592996,38,1,1
8.0,init_45,3.5073099732886526,39,12,12
8.5,init_2,1.639152350101862,41,0,0
8.0,init_25,10.37248439121293,40,8,8
9.0,init_30,26.20000109982679,43,1,1
9.0,init_25,13.346200130721972,44,13,13
9.5,init_30,3.2351142384205422,46,11,11
9.0,init_9,2.1832338439704557,45,6,6
9.5,init_38,29.378275262815876,48,13,13
9.5,init_1,4.902251187800943,47,7,7
8.5,init_16,3.751120022053769,42,10,10
9.5,init_16,4.696412891469261,49,10,10
10.5,init_47,1.5773209846074445,53,15,15
