sim_time,vid,latency_s,task_id,action_idx,action_name
1.0,init_7,4.255401321167974,2,11,11
1.0,init_24,1.2208188114390297,3,6,6
1.0,init_45,2.1840986544238454,1,8,8
1.5,init_27,2.258675484466555,4,12,12
1.5,init_16,5.102376955496483,5,14,14
2.0,init_14,4.843682873770751,6,12,12
2.0,init_13,1.3092052639322458,7,6,6
2.5,init_0,4.097568479904592,8,6,6
2.5,init_12,2.8134990772364716,9,5,5
3.0,init_17,4.585351621237957,12,6,6
2.5,init_46,4.588365830828037,10,4,4
3.0,init_30,10.86288941287738,11,13,13
3.0,init_36,3.007966068983049,13,8,8
3.0,init_23,3.3721781924988994,14,7,7
3.5,init_49,6.412926697700391,15,3,3
3.5,init_37,6.162347848332693,16,1,1
4.0,init_29,3.8896490788835996,17,12,12
4.0,init_7,6.618247302893691,18,11,11
4.5,init_27,3.541648115254833,19,11,11
4.5,init_21,7.291907288499607,20,9,9
5.5,init_33,0.9889913289738251,24,12,12
5.0,init_30,3.2563188619124777,21,15,15
5.0,init_23,4.039967914675795,23,9,9
5.0,init_29,3.1443945321867393,22,6,6
6.5,init_39,1.3094261740987196,25,10,10
6.5,init_22,3.660185315966129,26,10,10
6.5,init_6,4.851042184076914,27,14,14
6.5,init_35,2.702058667464124,28,7,7
6.5,init_38,1.7965916573242957,29,8,8
7.0,init_21,2.7583208010860325,36,2,2
6.5,init_43,3.210487750627926,33,13,13
7.0,init_36,8.046086184708724,34,3,3
7.0,init_20,2.265591063200417,35,5,5
6.5,init_37,4.81604661249767,32,6,6
6.5,init_28,2.250060830100317,30,12,12
6.5,init_46,4.6242940425097245,31,12,12
7.5,init_48,2.76583050651405,37,8,8
7.5,init_5,3.186327243038882,38,5,5
7.5,init_14,5.611079126567041,39,8,8
7.5,init_2,2.379171065452414,40,11,11
8.0,init_15,0.7248592518183893,45,0,0
8.0,init_24,3.8012992412963613,43,6,6
8.0,init_46,4.911299799380859,42,16,16
8.0,init_9,3.7878234723824464,41,9,9
8.0,init_13,4.7363037059985595,44,10,10
8.5,init_37,5.728873655474149,46,6,6
