sim_time,vid,latency_s,task_id,action_idx,action_name
1.0,init_1,3.750606645956767,1,8,8
1.0,init_43,3.4544298817849692,2,14,14
1.5,init_28,3.400694991040659,4,11,11
1.5,init_39,4.789792743537871,6,1,1
1.0,init_11,1.8615613579641577,3,12,12
1.5,init_24,2.7664285558970363,5,2,2
2.0,init_20,4.000226819210931,7,2,2
2.0,init_8,4.1340207431420035,8,15,15
2.0,init_0,3.0736874105722323,9,10,10
3.0,init_6,1.7410365458029402,10,13,13
3.0,init_32,5.630243729027658,11,0,0
3.0,init_39,6.379794517638366,12,15,15
3.5,init_21,2.3087224870035814,13,12,12
3.5,init_39,10.648445121840275,14,3,3
3.5,init_49,1.6576457830816158,15,6,6
3.5,init_15,15.321941311558863,16,3,3
4.0,init_28,9.020692420166373,17,4,4
4.0,init_47,3.953672383965274,18,11,11
4.0,init_3,3.3409982188597525,19,8,8
4.0,init_19,9.767281869827697,20,1,1
4.5,init_10,3.341424696956516,24,6,6
4.0,init_18,5.848162684117307,21,8,8
4.5,init_42,7.0731018818930895,23,8,8
4.0,init_5,4.28108359248512,22,2,2
5.0,init_34,2.2624523877174676,25,9,9
5.0,init_11,6.248406382960907,26,15,15
5.5,init_27,7.069801044771007,27,6,6
5.5,init_35,3.1229312024975933,28,7,7
5.5,init_45,2.71594352809144,29,10,10
6.5,init_17,3.919288164110764,32,4,4
7.0,init_33,10.334916564633875,36,16,16
5.5,init_48,3.7448367855923097,30,1,1
6.0,init_33,9.232144326402834,31,15,15
6.5,init_24,3.5842410570919827,33,1,1
7.0,init_17,8.945005846767145,35,16,16
6.5,init_4,4.831870586153078,34,16,16
7.0,init_38,6.769382057085425,37,4,4
7.0,init_35,7.207903495832078,38,2,2
7.5,init_44,5.156226412662596,39,14,14
8.0,init_48,2.770531821173238,45,6,6
7.5,init_8,2.4851904502815687,40,7,7
7.5,init_48,10.964284427399045,44,14,14
7.5,init_37,6.014717012380652,42,3,3
7.5,init_15,6.952115781481067,43,1,1
7.5,init_14,7.140288745520805,41,3,3
8.5,init_44,14.441034211035554,46,14,14
9.0,init_26,3.0384024921418544,47,12,12
9.0,init_13,5.574899886520047,48,12,12
9.5,init_40,2.590102744365579,49,7,7
10.5,init_29,9.007675894462693,51,15,15
10.0,init_39,7.4783065102068145,50,3,3
11.0,init_49,11.468428841418913,53,16,16
11.0,init_38,3.5631828677258706,55,6,6
11.0,init_16,11.414433307361243,54,15,15
10.5,init_18,3.094637133233096,52,9,9
11.5,init_9,22.828106144073118,56,16,16
11.5,init_41,21.219753570859513,57,4,4
12.0,init_32,7.216278384206702,58,1,1
12.0,init_17,6.58548675819913,59,0,0
12.5,init_15,4.447057036079386,60,6,6
12.5,init_30,11.009175670274871,61,4,4
13.0,init_38,2.9067568580814784,62,5,5
13.0,init_36,9.867973123208541,63,13,13
14.5,init_44,6.813049989024472,64,4,4
15.5,init_9,2.9498146939453953,65,5,5
16.0,init_12,6.2012559617569805,66,10,10
16.5,init_31,5.360063217405763,67,2,2
16.5,init_18,3.4416246443418346,68,11,11
16.5,init_16,3.9742712401619293,69,1,1
16.5,init_30,3.6474820497026528,70,16,16
17.5,init_41,4.849523592645326,75,11,11
17.0,init_36,9.096696636406772,72,2,2
17.5,init_12,1.0895455628019928,73,0,0
17.5,init_32,3.174034607272376,74,13,13
17.0,init_18,2.470562756173094,71,8,8
18.5,init_26,9.31967967179261,79,14,14
18.0,init_42,4.4715347411928255,78,1,1
17.5,init_35,11.693611527570107,76,12,12
17.5,init_48,6.69800741905705,77,14,14
18.5,init_17,9.682263785440808,80,1,1
19.0,init_33,4.485355275034918,81,15,15
20.5,init_5,5.210653568019989,85,4,4
20.5,init_46,2.5459886172163047,83,6,6
20.0,init_24,2.007450772976787,82,9,9
20.5,init_40,7.95428911965214,84,2,2
21.0,init_21,1.4656265003368616,86,3,3
21.0,init_25,9.152745920509297,87,12,12
21.5,init_29,5.322126876977702,88,8,8
22.0,init_33,4.686561882690104,89,15,15
22.0,init_30,11.030377731047748,91,2,2
23.0,init_9,5.78292469853265,92,13,13
22.0,init_38,3.3775747948873764,90,6,6
23.0,init_36,6.4447124515548015,94,9,9
23.5,init_25,6.772139112572315,98,8,8
23.5,init_24,5.215867255423296,97,6,6
23.0,init_48,8.09937454076983,95,13,13
23.5,init_23,3.3162127665546723,96,6,6
24.0,init_12,10.774619753960447,99,0,0
23.0,init_13,3.636356404765257,93,11,11
24.0,init_13,13.7530657025945,100,2,2
25.5,init_49,5.738113015013573,104,16,16
25.0,init_31,4.608295724787332,103,3,3
25.5,init_19,3.3701521498035687,105,15,15
25.5,init_48,6.184104461892029,108,14,14
24.5,init_32,6.394582581540599,101,0,0
25.5,init_35,3.8315300864111053,107,7,7
25.5,init_2,9.651739607845805,106,3,3
25.0,init_27,2.0866092085462187,102,12,12
26.0,init_35,14.00218508719988,109,3,3
26.5,init_30,6.922695923415653,113,16,16
26.5,init_15,30.12435787000114,111,3,3
26.0,init_4,4.99558235562316,110,1,1
27.0,init_23,5.92185382025621,114,15,15
26.5,init_7,4.847167710141,112,7,7
27.5,init_17,7.865321100789313,116,14,14
27.0,init_19,8.103700545732591,115,14,14
28.0,init_3,3.684524423423168,117,10,10
28.0,init_5,4.717378879626428,118,4,4
28.5,init_8,3.951664813551457,119,11,11
29.0,init_42,11.992975394021556,122,15,15
28.5,init_0,2.1133296010833513,120,8,8
29.0,init_18,14.105083739368572,123,3,3
29.0,init_26,8.472573949803511,121,15,15
29.0,init_36,1.23228939901643,124,0,0
29.5,init_2,8.399080169793312,126,4,4
30.0,init_34,0.8231758655279137,129,0,0
29.5,init_39,2.969687931586245,125,5,5
29.5,init_4,3.44836063166124,127,11,11
29.5,init_30,12.548652500032073,128,15,15
30.0,init_18,3.3929132900561783,130,8,8
31.0,init_12,3.095144842779196,134,5,5
30.5,init_23,17.09754334349182,132,3,3
30.0,init_16,4.03439500113167,131,9,9
31.5,init_24,5.206088130790827,137,5,5
30.5,init_10,2.63193052198104,133,1,1
31.5,init_21,9.860235029318554,136,4,4
32.0,init_17,3.4741511869326414,139,7,7
31.0,init_9,6.453643417369242,135,13,13
31.5,init_38,3.375873665290163,138,10,10
32.5,init_27,2.8144959394782516,144,6,6
32.0,init_25,17.09079291254135,140,15,15
32.5,init_19,8.493360700686196,146,1,1
32.5,init_42,1.6498206837885825,143,11,11
32.0,init_38,21.09090389868455,142,3,3
32.0,init_11,14.157789794022426,141,15,15
34.0,init_7,5.930102539571072,149,5,5
32.5,init_49,3.2948079667358723,145,9,9
33.0,init_7,12.972980131908786,147,13,13
33.5,init_23,4.698260841771475,148,9,9
34.0,init_30,17.924564685493564,150,5,5
34.5,init_30,13.188359282750163,152,4,4
35.0,init_33,2.837360253236214,154,8,8
36.0,init_11,3.180542722250962,158,12,12
35.0,init_5,17.32116158786438,156,4,4
35.0,init_3,22.57072711409603,153,3,3
35.0,init_10,12.528685253552856,155,16,16
34.5,init_13,5.144969812382237,151,14,14
36.0,init_18,7.678226682095182,159,2,2
35.5,init_29,4.387318610017513,157,7,7
36.0,init_13,1.3585689501542877,161,6,6
36.0,init_7,16.829711921332084,160,13,13
36.5,init_30,3.3489338396659525,164,12,12
36.5,init_0,4.801888003885745,163,14,14
37.0,init_32,13.878494484401934,166,14,14
37.0,init_23,2.0699363231685477,167,7,7
36.5,init_23,5.297725915851387,162,11,11
37.0,init_46,1.2297697161649466,165,0,0
37.0,init_18,8.330226813686744,168,2,2
37.0,init_5,13.183235645351129,169,2,2
37.5,init_22,1.5941488105881816,170,10,10
37.5,init_25,11.359505525071764,172,0,0
38.0,init_10,15.338951361332171,176,2,2
37.5,init_49,7.1184697210665355,171,16,16
37.5,init_18,21.611583174515534,173,3,3
37.5,init_38,10.8615395575044,175,9,9
38.0,init_11,1.825568920703712,177,11,11
37.5,init_0,5.817618810823216,174,5,5
38.5,init_18,23.20433849571896,178,3,3
39.0,init_16,10.430527491453443,179,15,15
40.0,init_41,6.888885512055495,184,14,14
40.0,init_49,8.874435794158275,183,16,16
40.5,init_27,3.0536595782169753,186,12,12
40.0,init_48,2.2928072952960186,185,5,5
39.5,init_16,1.338502869164644,181,6,6
39.5,init_2,6.443758453886468,180,1,1
40.0,init_24,9.366930937931516,182,1,1
42.0,init_8,5.7864047467128366,187,11,11
42.0,init_16,3.314774339046312,188,10,10
44.0,init_7,12.4513706807298,189,13,13
44.0,init_48,12.722314291031601,190,4,4
44.5,init_30,6.806777958046766,193,15,15
44.5,init_17,15.22261826424926,191,1,1
45.0,init_43,1.8092573561776921,194,11,11
44.5,init_18,9.036933208136809,192,15,15
45.5,init_41,2.2339867382996093,197,9,9
45.5,init_43,3.8338432756529786,196,5,5
45.5,init_48,11.82267478922575,198,15,15
45.0,init_5,1.6492563033421799,195,5,5
46.0,init_25,16.575215261262542,199,15,15
46.5,init_49,4.877536318857388,200,11,11
47.0,init_39,2.4006663497119956,204,14,14
47.0,init_15,3.6112560928088664,205,9,9
48.5,init_42,3.633064323823655,209,0,0
47.0,init_37,1.7704814267705657,203,7,7
46.5,init_45,28.912377842897662,201,13,13
47.0,init_9,2.5993188310838304,202,5,5
48.5,init_46,3.5470900778410197,208,11,11
48.0,init_40,18.594317793731616,207,3,3
47.5,init_23,8.213028302360598,206,0,0
49.0,init_10,2.2859120139578346,210,1,1
49.0,init_15,2.0227815803733824,211,9,9
49.5,init_44,17.140486846018877,212,15,15
49.5,init_14,4.817164479331548,213,6,6
50.5,init_31,1.1689147337320416,218,13,13
50.0,init_5,2.6404925159727046,215,6,6
50.5,init_41,3.325773024685578,219,9,9
50.5,init_27,5.1276264379023555,217,6,6
50.5,init_37,3.02686719026987,216,7,7
50.0,init_39,12.281868726736139,214,4,4
52.0,init_21,4.742807971791339,223,1,1
51.5,init_21,2.046829234569607,221,10,10
52.0,init_16,14.662608998471288,226,4,4
51.5,init_44,18.778806616604633,220,15,15
52.0,init_29,26.02468531805652,224,3,3
52.0,init_39,3.0796679693430424,225,5,5
51.5,init_34,4.755135184891977,222,13,13
53.5,init_34,5.631390565897359,229,16,16
53.0,init_22,4.405960810705485,227,16,16
53.0,init_27,12.361368309750493,228,5,5
54.0,init_12,2.5300062544255604,231,10,10
54.0,init_41,6.056886771328363,233,12,12
53.5,init_41,2.5417627285910878,230,12,12
55.0,init_32,0.8080948797962165,238,0,0
54.5,init_18,5.912431895259798,236,9,9
54.5,init_9,5.435770101186478,234,13,13
55.0,init_8,2.582421633673474,237,7,7
55.0,init_31,4.409720872260469,239,10,10
54.5,init_11,3.0419048449145554,235,6,6
54.0,init_21,3.380289174765381,232,9,9
55.5,init_21,1.7371139532696436,240,2,2
56.0,init_40,12.27766128994507,242,15,15
56.0,init_0,20.603791981690513,243,15,15
58.0,init_10,4.176313218904577,247,6,6
58.0,init_27,1.0972286741001562,246,16,16
58.0,init_49,4.122225293898183,249,16,16
55.5,init_0,18.74796302935698,241,15,15
56.5,init_15,27.67369028700856,244,4,4
57.0,init_24,5.626497428978393,245,0,0
58.0,init_31,16.06310503165418,248,15,15
58.5,init_46,3.6437375136553225,250,12,12
60.5,init_15,1.6915579252720994,256,9,9
59.0,init_16,6.117839461998329,251,6,6
59.5,init_45,9.835155306456603,253,16,16
60.0,init_48,1.5626546444001028,255,2,2
60.0,init_31,4.4241718218730615,254,5,5
59.5,init_32,3.210931849060664,252,5,5
61.0,init_46,20.225466975541558,257,15,15
61.0,init_3,6.179468178855528,258,8,8
61.0,init_24,3.9595856093276796,259,8,8
61.5,init_0,4.519129940741382,261,8,8
61.5,init_43,2.505344817136017,260,0,0
62.0,init_45,3.6336877269630734,263,2,2
62.0,init_34,4.859861859602827,262,16,16
62.5,init_14,5.242511566123619,266,6,6
63.0,init_17,4.3003499207381175,268,8,8
63.0,init_8,3.5805980132070196,267,10,10
63.0,init_27,4.232792229128916,269,9,9
62.5,init_21,6.96408492856868,265,14,14
62.5,init_44,3.7030090191282503,264,14,14
63.0,init_36,13.836343316120379,271,13,13
64.0,init_40,5.5037499553414815,276,5,5
65.0,init_23,3.150486302160546,278,11,11
63.0,init_33,12.91986255631055,270,5,5
63.5,init_16,3.644982328108963,273,12,12
64.0,init_25,5.034866070791283,275,8,8
63.5,init_21,12.3374815721051,272,13,13
64.0,init_48,5.79787408280761,277,13,13
64.0,init_37,3.1308239369437945,274,12,12
65.0,init_3,2.659216079778507,279,10,10
65.0,init_7,20.488338876433023,280,13,13
65.5,init_35,3.9320626943405523,281,12,12
66.5,init_39,7.140664917262039,283,3,3
66.5,init_3,3.855138456008996,282,7,7
67.0,init_42,2.8441054210923906,284,7,7
67.5,init_8,6.9841697018377085,285,8,8
67.5,init_32,7.002087247390513,286,1,1
67.5,init_29,3.927522628939592,287,5,5
68.0,init_46,3.848968095549524,288,11,11
68.0,init_32,3.93466351515058,289,8,8
68.0,init_29,4.959658986372852,290,6,6
68.0,init_37,0.8309144923213445,291,0,0
69.0,init_16,2.417902296331507,296,10,10
69.0,init_14,6.737682904021241,295,4,4
68.5,init_23,2.4756255780044554,294,9,9
69.5,init_38,9.363422811234765,298,4,4
70.0,init_32,9.050622671851533,299,14,14
68.0,init_33,11.31886207576226,292,0,0
69.5,init_16,2.5436911972980534,297,10,10
68.0,init_25,13.111466994050508,293,12,12
71.5,init_46,3.4285472701582718,303,8,8
70.0,init_25,5.78123674911142,300,1,1
70.5,init_46,5.827686643546837,301,1,1
71.5,init_19,5.181640703323848,304,14,14
72.0,init_4,4.0390041618753,306,16,16
71.0,init_19,1.8229821378130635,302,16,16
72.0,init_24,2.188013269087098,305,12,12
72.5,init_17,2.911194048373826,307,7,7
72.5,init_15,12.848013134059945,308,3,3
73.0,init_12,11.185810507223005,309,13,13
73.5,init_25,8.728651884228466,316,12,12
73.0,init_43,4.1600378755561085,310,2,2
73.0,init_2,0.9895903222533841,312,0,0
73.5,init_22,5.118440559338669,315,16,16
73.5,init_30,5.958304920641683,317,7,7
73.0,init_41,10.71257258631352,313,1,1
73.0,init_40,2.3566304979940345,311,7,7
73.5,init_48,2.7928757338119388,318,6,6
73.0,init_36,5.528085642392014,314,14,14
74.0,init_10,7.069170416905148,319,1,1
74.5,init_33,13.1389198526632,320,4,4
75.0,init_24,2.014089944787306,324,5,5
75.0,init_43,7.550477488436906,325,14,14
75.0,init_32,6.236987981028644,323,11,11
75.0,init_36,12.759126882543292,326,10,10
74.5,init_5,2.5094787822672346,321,11,11
75.5,init_21,8.126416592743114,327,10,10
74.5,init_2,4.367387933293576,322,10,10
75.5,init_40,5.670015249917682,328,14,14
76.0,init_43,10.50732615183046,329,10,10
76.0,init_10,8.33008065915586,330,3,3
76.5,init_32,5.544056900518179,333,0,0
76.5,init_33,5.109794913821602,334,2,2
77.0,init_11,20.817652870377238,336,1,1
77.5,init_10,1.1698296573824447,339,9,9
76.0,init_40,10.624443886308695,331,4,4
76.5,init_46,3.3293327807646813,332,9,9
77.0,init_34,8.48316812427506,335,2,2
77.0,init_19,1.7561550735039853,337,15,15
77.5,init_21,4.029688596699666,338,12,12
77.5,init_36,12.668272089506296,340,1,1
78.0,init_8,3.4349212740107493,341,9,9
78.5,init_43,12.156427551977727,343,4,4
79.0,init_40,10.659883661067877,347,10,10
78.5,init_0,1.9927421090984663,344,5,5
79.0,init_49,4.776332735200566,346,7,7
78.0,init_34,3.934430998494639,342,9,9
79.0,init_38,20.554586293655092,348,1,1
78.5,init_35,5.652450239261957,345,9,9
79.0,init_36,2.539127335448093,349,6,6
79.5,init_12,12.930251407451316,350,10,10
79.5,init_42,2.8413905125417185,352,15,15
79.5,init_32,1.562812967332246,351,8,8
80.0,init_37,3.540025978885012,353,8,8
80.0,init_30,14.731573239950754,355,1,1
80.0,init_3,16.35130137497383,354,4,4
81.5,init_32,15.094313192933607,359,14,14
80.5,init_38,20.087777605172946,357,1,1
80.5,init_21,5.138112271258159,356,12,12
81.0,init_8,4.348537779194832,358,13,13
81.5,init_19,4.094595570223416,360,6,6
83.0,init_8,13.587253595452584,365,15,15
81.5,init_2,5.778969663780847,361,9,9
82.0,init_42,3.8520511418313337,362,14,14
82.5,init_40,2.2705394560318597,363,5,5
83.5,init_21,4.679881755496887,367,14,14
83.0,init_0,8.996981242948578,366,5,5
83.5,init_26,5.727679081199161,368,15,15
83.5,init_31,5.042159459647383,369,5,5
82.5,init_36,3.133450483683308,364,7,7
84.0,init_12,19.30447731381116,370,1,1
85.5,init_33,18.81149398525718,376,4,4
84.0,init_16,6.2386350229622085,372,0,0
84.0,init_33,13.58305204105357,371,2,2
85.0,init_32,16.28156287923606,375,1,1
84.5,init_17,10.121576376270205,373,2,2
84.5,init_43,3.287302661894141,374,12,12
85.5,init_30,7.931199039139787,377,15,15
86.5,init_32,20.42083581800092,378,1,1
86.5,init_49,5.541452029901278,379,14,14
86.5,init_2,2.804688678620366,380,8,8
87.5,init_4,14.883204038881663,383,9,9
88.5,init_22,6.171571988298991,386,15,15
87.5,init_34,2.547195825899879,382,11,11
88.5,init_15,12.635442646806805,388,3,3
87.0,init_26,5.691532406730456,381,5,5
