sim_time,vid,latency_s,task_id,action_idx,action_name
30.0,init_8,3.684773421156243,118,,
30.0,init_17,11.311343743647292,119,,
31.0,init_2,3.0073511472324497,122,,
31.5,init_6,2.3718279325012146,125,,
30.5,init_7,3.7067372218267605,120,,
31.0,init_26,13.210395593451171,121,,
31.0,init_23,2.984493466552784,124,,
31.0,init_35,28.864213015505655,123,,
31.5,init_45,4.476265492559546,126,,
32.0,init_29,12.97261573930333,127,,
33.5,init_11,12.930990040003627,133,,
32.5,init_46,5.080800982148643,129,,
33.0,init_30,6.835991793711287,131,,
32.5,init_13,6.044185025522781,130,,
32.5,init_49,13.711623522386674,128,,
33.5,init_8,5.291588795775869,134,,
33.0,init_13,3.3447304671849682,132,,
33.5,init_39,2.590986666895514,135,,
33.5,init_22,4.406116383862146,136,,
34.5,init_34,6.934024821006961,137,,
35.5,init_42,3.4233414576795504,140,,
35.0,init_30,8.51523230059425,139,,
35.0,init_38,3.9010076468861765,138,,
35.5,init_48,6.036932639726017,141,,
36.0,init_34,3.0138293488697885,142,,
37.0,init_19,2.2902630954036027,146,,
36.0,init_27,11.247619040747034,144,,
36.0,init_22,9.005354219905609,143,,
36.5,init_35,6.606466756032934,145,,
37.0,init_38,9.112154663500098,147,,
37.5,init_1,4.115911225588117,151,,
37.5,init_34,9.969720649213171,150,,
37.0,init_39,7.8372067818808,148,,
38.5,init_5,7.003672645478854,155,,
38.0,init_7,4.858342324453895,153,,
38.0,init_29,6.041255566147921,152,,
37.5,init_44,6.926779700379098,149,,
38.0,init_22,3.421386247619162,154,,
38.5,init_36,12.43297661010408,156,,
39.0,init_15,2.3441817821937514,158,,
38.5,init_21,18.87078633919211,157,,
39.0,init_8,3.3108861864256998,161,,
40.0,init_18,12.813617090438193,164,,
39.5,init_12,5.514788234039042,162,,
40.5,init_29,10.233600040884234,166,,
39.0,init_12,3.428106834814637,160,,
39.5,init_39,7.722852140560785,163,,
40.0,init_27,9.69255275260777,165,,
39.0,init_24,4.862603406762729,159,,
40.5,init_1,3.3821442378874567,168,,
40.5,init_7,3.5485209521832033,167,,
42.0,init_5,3.5199693857498238,175,,
41.5,init_35,17.14279938140299,171,,
41.5,init_44,1.2047575119243574,170,,
41.5,init_36,10.01879867374864,172,,
40.5,init_38,5.345576697797124,169,,
42.0,init_24,3.9633060759439442,173,,
42.0,init_20,11.03275494353487,176,,
42.0,init_29,14.900405712173379,174,,
42.0,init_18,13.589834273457514,177,,
42.5,init_29,4.0376534958137125,179,,
43.0,init_24,2.101260861884229,182,,
43.0,init_17,10.205867367230873,183,,
45.0,init_29,6.589204036661085,186,,
42.0,init_33,12.519482534514015,178,,
42.5,init_1,11.799671464956997,180,,
43.0,init_13,13.647962384174564,184,,
42.5,init_27,1.3626004788543322,181,,
44.0,init_24,16.399893066542653,185,,
46.0,init_47,2.6929975737537672,189,,
45.0,init_35,5.134041219000871,187,,
45.0,init_18,4.451018759155748,188,,
46.5,init_10,4.980829671162873,190,,
47.0,init_31,4.025468971085029,194,,
47.5,init_7,9.520071755089418,195,,
47.5,init_11,3.5645082345154604,196,,
47.0,init_6,12.33853198015032,192,,
47.0,init_49,3.481732818065597,191,,
47.0,init_33,5.6594997520921675,193,,
48.0,init_41,7.57158147271702,197,,
49.0,init_26,5.06760215251204,200,,
48.5,init_30,8.165959617355517,199,,
48.0,init_6,7.4446450298908875,198,,
49.0,init_24,2.7203579367458213,201,,
49.5,init_24,9.457706493255007,203,,
49.0,init_27,1.5210326062898547,202,,
50.5,init_10,14.100239540989174,205,,
50.5,init_24,2.3072957002690595,204,,
51.0,init_32,2.584304227104683,206,,
51.5,init_10,3.268149131429552,207,,
51.5,init_37,2.908723030195541,208,,
51.5,init_13,2.152314668187636,209,,
52.0,init_17,12.490736599118858,210,,
52.5,init_6,8.821648158310936,211,,
53.5,init_37,2.4724895983968302,215,,
52.5,init_20,4.974187186617848,212,,
53.5,init_42,5.505068415754951,214,,
53.5,init_49,3.3543780425598175,213,,
54.0,init_23,7.240594275001776,216,,
54.5,init_47,4.962059504468167,217,,
55.0,init_29,6.7488254184485665,221,,
55.0,init_32,7.447566697295879,222,,
56.0,init_42,1.1228399731381447,226,,
54.5,init_4,11.055119662121063,219,,
55.5,init_1,8.118581733753349,223,,
55.5,init_8,9.458470510685995,224,,
54.5,init_6,3.9174751110331063,218,,
55.5,init_30,5.280186506117785,225,,
54.5,init_46,4.531705019851939,220,,
56.0,init_48,2.5212598144599734,227,,
56.5,init_19,8.19858581309923,229,,
56.5,init_45,6.763915803057611,230,,
57.0,init_8,6.706105790655321,233,,
57.5,init_35,5.509013951824492,234,,
57.0,init_12,3.789981395814905,232,,
56.5,init_9,6.467069151716281,231,,
57.5,init_13,1.9237712240705394,236,,
56.5,init_14,13.840787354019916,228,,
57.5,init_31,6.947807788483047,235,,
57.5,init_9,11.320905444955235,237,,
58.5,init_35,3.790934635674176,238,,
58.5,init_8,5.759602367104487,239,,
59.5,init_21,9.429120022031398,241,,
59.0,init_33,6.186983702569492,240,,
60.0,init_35,2.657135925385906,244,,
60.0,init_29,3.155341951425756,243,,
60.0,init_17,7.306831277351617,245,,
